policy_id,customer_id,policy_type,premium_amount,coverage_amount,policy_start_date,policy_end_date,policy_status,policy_risk_level
POL_124680,CUST_731262,life,860,165000,2023-05-14,2025-09-10,active,high
POL_589034,CUST_201414,health,759,70000,2021-06-06,2024-01-03,active,medium
POL_712060,CUST_183667,health,1952,77000,2023-04-22,2026-01-08,inactive,high
POL_292761,CUST_771088,life,3097,187500,2023-01-17,2025-12-29,active,medium
POL_917654,CUST_377746,life,1325,150000,2022-11-22,2025-09-15,active,medium
POL_995534,CUST_500156,life,823,187500,2021-11-25,2022-12-10,active,medium
POL_752805,CUST_738551,life,1915,150000,2021-04-02,2023-12-25,active,medium
POL_522448,CUST_738551,auto,1425,25000,2023-01-06,2025-12-29,active,low
POL_142005,CUST_897549,health,1039,77000,2023-09-04,2024-09-29,active,medium
POL_623347,CUST_454508,home,731,100000,2024-11-27,2026-09-12,inactive,medium
POL_292952,CUST_595631,life,597,150000,2021-12-29,2024-10-09,active,low
POL_954127,CUST_542374,health,741,87500,2019-08-13,2021-12-20,active,low
POL_487279,CUST_509386,health,1999,70000,2019-06-11,2022-05-27,active,high
POL_901067,CUST_656926,health,1984,70000,2019-07-21,2021-02-20,active,high
POL_217134,CUST_378517,life,810,180000,2020-08-09,2022-03-14,active,medium
POL_525845,CUST_378517,auto,2798,30000,2018-11-01,2021-01-15,inactive,high
POL_811153,CUST_265409,life,3285,217500,2023-04-16,2025-02-23,active,medium
POL_141595,CUST_265409,home,2839,120000,2024-07-12,2026-11-22,active,medium
POL_446556,CUST_820892,life,917,187500,2023-11-29,2026-07-14,active,low
POL_671633,CUST_256294,health,2333,77000,2022-02-24,2024-07-13,active,medium
POL_618750,CUST_256294,home,838,110000,2018-09-03,2020-03-22,active,low
POL_110971,CUST_582662,home,1159,100000,2023-10-14,2025-11-27,active,low
POL_286381,CUST_708792,health,1653,87500,2020-05-11,2022-06-27,active,high
POL_856350,CUST_306606,health,2221,70000,2023-09-18,2026-03-21,active,medium
POL_567643,CUST_306606,auto,1956,25000,2024-07-06,2026-02-02,active,low
POL_463222,CUST_745414,home,2163,100000,2024-03-08,2026-07-29,active,low
POL_827410,CUST_958179,health,1563,70000,2022-01-02,2024-10-24,active,medium
POL_370710,CUST_821024,home,1962,110000,2023-08-01,2026-01-23,active,high
POL_868918,CUST_567574,auto,1128,25000,2018-09-05,2020-02-11,active,medium
POL_367899,CUST_840734,auto,2190,25000,2023-09-16,2026-05-24,active,low
POL_736938,CUST_840734,home,1065,100000,2020-08-04,2022-10-30,active,low
POL_424595,CUST_976325,health,1331,70000,2018-08-02,2020-05-21,active,high
POL_225335,CUST_976325,home,2047,100000,2023-02-22,2024-06-20,active,high
POL_276995,CUST_691807,life,2123,202500,2018-10-05,2021-03-26,active,high
POL_963637,CUST_691807,auto,1653,27500,2020-06-21,2022-04-19,active,medium
POL_643036,CUST_466960,health,1449,70000,2022-09-07,2024-11-28,active,high
POL_346474,CUST_466960,auto,1097,25000,2019-05-29,2021-09-13,active,high
POL_641574,CUST_368690,home,1095,110000,2019-02-24,2021-12-10,active,high
POL_996492,CUST_841666,health,892,87500,2023-07-23,2025-06-21,active,medium
POL_758369,CUST_841666,home,747,100000,2021-10-04,2023-07-14,active,high
POL_578960,CUST_130094,life,1220,150000,2022-11-30,2025-08-02,active,high
POL_921753,CUST_130094,home,2153,100000,2023-03-01,2025-11-05,active,high
POL_157954,CUST_824156,auto,624,25000,2022-12-16,2025-10-03,active,medium
POL_128102,CUST_824156,home,1792,100000,2021-10-13,2023-05-16,active,low
POL_209397,CUST_384076,auto,709,27500,2019-03-02,2020-11-24,active,low
POL_283930,CUST_384076,home,1610,110000,2021-12-10,2024-08-02,active,low
POL_500448,CUST_660081,life,1807,150000,2024-03-20,2026-03-20,active,medium
POL_483807,CUST_168517,auto,1914,25000,2018-08-03,2020-08-12,active,medium
POL_992619,CUST_572398,life,2959,210000,2019-10-28,2021-09-26,active,low
POL_552009,CUST_572398,auto,1976,32500,2023-12-19,2025-12-16,active,medium
POL_263261,CUST_722656,health,1105,94500,2022-07-11,2024-05-21,inactive,high
POL_629830,CUST_966785,life,1157,165000,2021-06-14,2022-11-19,active,high
POL_233362,CUST_870214,health,853,77000,2018-04-07,2019-10-13,active,low
POL_698565,CUST_870214,auto,1063,25000,2022-09-10,2024-07-05,active,medium
POL_263981,CUST_195674,home,585,100000,2022-03-21,2024-03-03,active,high
